"RelativePath","SizeBytes","LastWriteTime","Classification","Destination"
"mimo change/00_WORK_COMPLETED_TO_DATE.md","23999","2026-07-13T21:01:49","ARCHIVE","_archive/documentation/20260714-124624/mimo change/00_WORK_COMPLETED_TO_DATE.md"
"mimo change/01_CHANGE_LEDGER.md","13174","2026-07-14T12:12:28","ACTIVE","mimo change/01_CHANGE_LEDGER.md"
"mimo change/02_ARCHITECTURE_DECISION_LOG.md","12956","2026-07-14T00:09:51","ACTIVE","mimo change/02_ARCHITECTURE_DECISION_LOG.md"
"mimo change/03_FILE_CHANGE_REGISTER.md","7202","2026-07-14T00:20:12","ACTIVE","mimo change/03_FILE_CHANGE_REGISTER.md"
"mimo change/04_TEST_EXECUTION_LOG.md","5546","2026-07-14T00:09:18","ACTIVE","mimo change/04_TEST_EXECUTION_LOG.md"
"mimo change/05_OPEN_QUESTIONS_AND_RISKS.md","9573","2026-07-14T00:11:59","ACTIVE","mimo change/05_OPEN_QUESTIONS_AND_RISKS.md"
"mimo change/06_FINAL_CONTRACT_REMEDIATION_REPORT.md","7955","2026-07-13T21:42:02","ARCHIVE","_archive/documentation/20260714-124624/mimo change/06_FINAL_CONTRACT_REMEDIATION_REPORT.md"
"mimo change/07_CONTRACT_DIFF_SUMMARY.md","6774","2026-07-13T21:43:01","ARCHIVE","_archive/documentation/20260714-124624/mimo change/07_CONTRACT_DIFF_SUMMARY.md"
"mimo change/08_FINAL_TASK_VERIFICATION.md","5718","2026-07-13T21:44:10","ARCHIVE","_archive/documentation/20260714-124624/mimo change/08_FINAL_TASK_VERIFICATION.md"
"mimo change/09_IMPLEMENTATION_JOURNAL.md","4602","2026-07-14T00:20:41","ACTIVE","mimo change/09_IMPLEMENTATION_JOURNAL.md"
"mimo change/audit/00_AUDIT_EXECUTIVE_SUMMARY.md","1591","2026-07-14T12:05:23","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/00_AUDIT_EXECUTIVE_SUMMARY.md"
"mimo change/audit/01_CRITICAL_FINDINGS.md","2679","2026-07-14T12:05:50","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/01_CRITICAL_FINDINGS.md"
"mimo change/audit/02_HIGH_RISK_FINDINGS.md","2579","2026-07-14T12:06:27","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/02_HIGH_RISK_FINDINGS.md"
"mimo change/audit/03_DUPLICATE_IMPLEMENTATIONS.md","2106","2026-07-14T12:06:52","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/03_DUPLICATE_IMPLEMENTATIONS.md"
"mimo change/audit/04_CROSS_MODULE_RELATIONSHIPS.md","3041","2026-07-14T12:07:22","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/04_CROSS_MODULE_RELATIONSHIPS.md"
"mimo change/audit/05_SECURITY_AND_TENANCY_FINDINGS.md","1953","2026-07-14T12:07:51","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/05_SECURITY_AND_TENANCY_FINDINGS.md"
"mimo change/audit/06_FINANCIAL_INTEGRITY_FINDINGS.md","1865","2026-07-14T12:08:20","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/06_FINANCIAL_INTEGRITY_FINDINGS.md"
"mimo change/audit/07_TRANSACTION_AND_CONCURRENCY_FINDINGS.md","2624","2026-07-14T12:08:55","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/07_TRANSACTION_AND_CONCURRENCY_FINDINGS.md"
"mimo change/audit/08_TEST_GAPS_AND_FLAKINESS.md","2048","2026-07-14T12:09:37","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/08_TEST_GAPS_AND_FLAKINESS.md"
"mimo change/audit/09_DOCUMENTATION_CONTRADICTIONS.md","1936","2026-07-14T12:10:03","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/09_DOCUMENTATION_CONTRADICTIONS.md"
"mimo change/audit/10_RECOMMENDED_REVIEW_ORDER.md","1581","2026-07-14T12:10:35","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/10_RECOMMENDED_REVIEW_ORDER.md"
"mimo change/audit/11_UNRESOLVED_QUESTIONS.md","2140","2026-07-14T12:11:03","ARCHIVE","_archive/documentation/20260714-124624/mimo change/audit/11_UNRESOLVED_QUESTIONS.md"
"module/Framework_Architecture_Correction_Package_v1_0/01_STANDARDS/Canonical_Actor_Glossary.md","1275","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Framework_Architecture_Correction_Package_v1_0/01_STANDARDS/Canonical_Actor_Glossary.md"
"module/Framework_Architecture_Correction_Package_v1_0/01_STANDARDS/CCS_Configuration_Naming_Standard.md","1054","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Framework_Architecture_Correction_Package_v1_0/01_STANDARDS/CCS_Configuration_Naming_Standard.md"
"module/Framework_Architecture_Correction_Package_v1_0/01_STANDARDS/CES_Event_Naming_Standard.md","959","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Framework_Architecture_Correction_Package_v1_0/01_STANDARDS/CES_Event_Naming_Standard.md"
"module/Framework_Architecture_Correction_Package_v1_0/02_CROSS_MODULE/Communication_Ownership_Cleanup.md","616","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Framework_Architecture_Correction_Package_v1_0/02_CROSS_MODULE/Communication_Ownership_Cleanup.md"
"module/Framework_Architecture_Correction_Package_v1_0/02_CROSS_MODULE/Dependency_Map.md","1901","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Framework_Architecture_Correction_Package_v1_0/02_CROSS_MODULE/Dependency_Map.md"
"module/Framework_Architecture_Correction_Package_v1_0/02_CROSS_MODULE/Permission_Ownership_Model.md","691","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Framework_Architecture_Correction_Package_v1_0/02_CROSS_MODULE/Permission_Ownership_Model.md"
"module/Framework_Architecture_Correction_Package_v1_0/02_CROSS_MODULE/Trust_vs_Identity_Boundary.md","750","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Framework_Architecture_Correction_Package_v1_0/02_CROSS_MODULE/Trust_vs_Identity_Boundary.md"
"module/Framework_Architecture_Correction_Package_v1_0/03_FREEZE/Modules_01_to_08_Freeze_Gate.md","1047","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Framework_Architecture_Correction_Package_v1_0/03_FREEZE/Modules_01_to_08_Freeze_Gate.md"
"module/Framework_Architecture_Correction_Package_v1_0/04_REFERENCE_IMPLEMENTATION/Generic_to_Senior_Care_Mapping.md","805","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Framework_Architecture_Correction_Package_v1_0/04_REFERENCE_IMPLEMENTATION/Generic_to_Senior_Care_Mapping.md"
"module/Framework_Architecture_Correction_Package_v1_0/README.md","707","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Framework_Architecture_Correction_Package_v1_0/README.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/00_GENERIC_FRAMEWORK_CORRECTION_ADDENDUM.md","2228","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/00_GENERIC_FRAMEWORK_CORRECTION_ADDENDUM.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/00_README.md","3178","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/00_README.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/01_Module_01_Product_Specification.md","6730","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/01_Module_01_Product_Specification.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/02_Module_01_Business_Rules.md","8099","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/02_Module_01_Business_Rules.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/03_Module_01_Architecture.md","4128","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/03_Module_01_Architecture.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/04_Module_01_Domain_Model.md","3028","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/04_Module_01_Domain_Model.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/05_Module_01_State_Machines.md","2694","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/05_Module_01_State_Machines.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/06_Module_01_System_Flows.md","3695","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/06_Module_01_System_Flows.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/07_Module_01_Data_Model.md","3287","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/07_Module_01_Data_Model.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/08_Module_01_API_Contracts.md","3436","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/08_Module_01_API_Contracts.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/09_Module_01_Admin_Functions.md","2177","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/09_Module_01_Admin_Functions.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/10_Module_01_Permissions.md","2261","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/10_Module_01_Permissions.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/11_Module_01_UI_Screens.md","2656","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/11_Module_01_UI_Screens.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/12_Module_01_Exception_Scenarios.md","3511","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/12_Module_01_Exception_Scenarios.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/13_Module_01_Test_Scenarios.md","4348","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/13_Module_01_Test_Scenarios.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/14_Module_01_ADRs.md","4429","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/14_Module_01_ADRs.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/15_Module_01_Glossary.md","2543","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/15_Module_01_Glossary.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/16_Module_01_Traceability_Matrix.md","3637","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/16_Module_01_Traceability_Matrix.md"
"module/Senior_Platform_Module_01_Request_Engine_v1.0/17_Module_01_Product_Bible.md","5740","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_01_Request_Engine_v1.0/17_Module_01_Product_Bible.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/00_GENERIC_FRAMEWORK_CORRECTION_ADDENDUM.md","2228","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/00_GENERIC_FRAMEWORK_CORRECTION_ADDENDUM.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/00_README.md","2001","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/00_README.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/01_Module_02_Product_Specification.md","4012","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/01_Module_02_Product_Specification.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/02_Module_02_Business_Rules.md","6998","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/02_Module_02_Business_Rules.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/03_Module_02_Architecture.md","3162","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/03_Module_02_Architecture.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/04_Module_02_Domain_Model.md","2868","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/04_Module_02_Domain_Model.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/05_Module_02_State_Machines.md","2044","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/05_Module_02_State_Machines.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/06_Module_02_System_Flows.md","2783","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/06_Module_02_System_Flows.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/07_Module_02_Data_Model.md","3372","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/07_Module_02_Data_Model.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/08_Module_02_API_Contracts.md","2642","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/08_Module_02_API_Contracts.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/09_Module_02_Admin_Functions.md","1907","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/09_Module_02_Admin_Functions.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/10_Module_02_Permissions.md","2033","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/10_Module_02_Permissions.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/11_Module_02_UI_Screens.md","2381","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/11_Module_02_UI_Screens.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/12_Module_02_Exception_Scenarios.md","2752","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/12_Module_02_Exception_Scenarios.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/13_Module_02_Test_Scenarios.md","4418","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/13_Module_02_Test_Scenarios.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/14_Module_02_ADRs.md","3648","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/14_Module_02_ADRs.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/15_Module_02_Glossary.md","1994","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/15_Module_02_Glossary.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/16_Module_02_Traceability_Matrix.md","2950","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/16_Module_02_Traceability_Matrix.md"
"module/Senior_Platform_Module_02_Matching_Engine_v1.0/17_Module_02_Product_Bible.md","4318","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_02_Matching_Engine_v1.0/17_Module_02_Product_Bible.md"
"module/Senior_Platform_Module_03_Booking_Assignment_Engine_v1.0/00_GENERIC_FRAMEWORK_CORRECTION_ADDENDUM.md","2228","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_03_Booking_Assignment_Engine_v1.0/00_GENERIC_FRAMEWORK_CORRECTION_ADDENDUM.md"
"module/Senior_Platform_Module_03_Booking_Assignment_Engine_v1.0/00_README.md","6287","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_03_Booking_Assignment_Engine_v1.0/00_README.md"
"module/Senior_Platform_Module_03_Booking_Assignment_Engine_v1.0/01_EXECUTIVE_SUMMARY.md","3342","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_03_Booking_Assignment_Engine_v1.0/01_EXECUTIVE_SUMMARY.md"
"module/Senior_Platform_Module_03_Booking_Assignment_Engine_v1.0/02_PRODUCT_SPECIFICATION.md","5922","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_03_Booking_Assignment_Engine_v1.0/02_PRODUCT_SPECIFICATION.md"
"module/Senior_Platform_Module_03_Booking_Assignment_Engine_v1.0/03_BUSINESS_RULES.md","7478","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/module/Senior_Platform_Module_03_Booking_Assignment_Engine_v1.0/03_BUSINESS_RULES.md"
